URI,a,b,NAME,c
"http://id.loc.gov/vocabulary/iso639-2/crh","","","Crimean Tatar; Crimean Turkish","tatar de Crimé"
"http://id.loc.gov/vocabulary/iso639-2/crp","","","Creoles and pidgins ","créoles et pidgins"
"http://id.loc.gov/vocabulary/iso639-2/csb","","","Kashubian","kachoube"
"http://id.loc.gov/vocabulary/iso639-2/cus","","","Cushitic languages","couchitiques, langues"
"http://id.loc.gov/vocabulary/iso639-2/cze","ces","cs","Czech","tchèque"
"http://id.loc.gov/vocabulary/iso639-2/dak","","","Dakota","dakota"
"http://id.loc.gov/vocabulary/iso639-2/dan","","da","Danish","danois"
"http://id.loc.gov/vocabulary/iso639-2/dar","","","Dargwa","dargwa"
"http://id.loc.gov/vocabulary/iso639-2/day","","","Land Dayak languages","dayak, langues"
"http://id.loc.gov/vocabulary/iso639-2/del","","","Delaware","delaware"
"http://id.loc.gov/vocabulary/iso639-2/den","","","Slave (Athapascan)","esclave (athapascan)"
"http://id.loc.gov/vocabulary/iso639-2/dgr","","","Dogrib","dogrib"
"http://id.loc.gov/vocabulary/iso639-2/din","","","Dinka","dinka"
"http://id.loc.gov/vocabulary/iso639-2/div","","dv","Divehi; Dhivehi; Maldivian","maldivien"
"http://id.loc.gov/vocabulary/iso639-2/doi","","","Dogri","dogri"
"http://id.loc.gov/vocabulary/iso639-2/dra","","","Dravidian languages","dravidiennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/dsb","","","Lower Sorbian","bas-sorabe"
"http://id.loc.gov/vocabulary/iso639-2/dua","","","Duala","douala"
"http://id.loc.gov/vocabulary/iso639-2/dum","","","Dutch, Middle (ca.1050-1350)","néerlandais moyen (ca. 1050-1350)"
"http://id.loc.gov/vocabulary/iso639-2/dut","nld","nl","Dutch; Flemish","néerlandais; flamand"
"http://id.loc.gov/vocabulary/iso639-2/dyu","","","Dyula","dioula"
"http://id.loc.gov/vocabulary/iso639-2/dzo","","dz","Dzongkha","dzongkha"
"http://id.loc.gov/vocabulary/iso639-2/efi","","","Efik","efik"
"http://id.loc.gov/vocabulary/iso639-2/egy","","","Egyptian (Ancient)","égyptien"
"http://id.loc.gov/vocabulary/iso639-2/eka","","","Ekajuk","ekajuk"
"http://id.loc.gov/vocabulary/iso639-2/elx","","","Elamite","élamite"
"http://id.loc.gov/vocabulary/iso639-2/eng","","en","English","anglais"
"http://id.loc.gov/vocabulary/iso639-2/enm","","","English, Middle (1100-1500)","anglais moyen (1100-1500)"
"http://id.loc.gov/vocabulary/iso639-2/epo","","eo","Esperanto","espéranto"
"http://id.loc.gov/vocabulary/iso639-2/est","","et","Estonian","estonien"
"http://id.loc.gov/vocabulary/iso639-2/ewe","","ee","Ewe","éwé"
"http://id.loc.gov/vocabulary/iso639-2/ewo","","","Ewondo","éwondo"
"http://id.loc.gov/vocabulary/iso639-2/fan","","","Fang","fang"
"http://id.loc.gov/vocabulary/iso639-2/fao","","fo","Faroese","féroïen"
"http://id.loc.gov/vocabulary/iso639-2/fat","","","Fanti","fanti"
"http://id.loc.gov/vocabulary/iso639-2/fij","","fj","Fijian","fidjien"
"http://id.loc.gov/vocabulary/iso639-2/fil","","","Filipino; Pilipino","filipino; pilipino"
